Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
897,640,702,575,1080,416,745,341,740,769
898,642,705,577,1080,415,747,341,743,772
899,643,706,579,1082,414,747,341,744,773
899,643,705,580,1080,414,746,342,744,773
898,641,704,578,1077,415,744,341,744,769
899,635,704,574,1076,413,742,337,745,763
901,627,704,570,1076,413,739,336,748,757
905,623,705,567,1075,409,738,335,752,754
903,625,706,569,1075,409,739,334,750,755
901,628,704,570,1074,410,738,335,750,759
903,629,703,571,1074,410,737,335,747,761
902,632,704,572,1074,411,737,335,748,764
899,635,702,574,1072,412,736,337,745,767
897,635,700,574,1068,410,734,337,744,768
897,636,700,575,1067,409,733,338,745,769
896,637,700,576,1067,411,733,338,745,770
896,637,699,577,1065,410,733,338,745,770
897,638,701,577,1065,411,734,339,746,771
897,638,700,578,1066,410,734,339,746,771
896,638,699,578,1063,409,733,339,746,772
896,640,698,579,1063,409,732,339,746,773
895,640,699,580,1062,409,732,339,746,773
895,641,698,581,1062,409,732,339,746,775
893,642,697,581,1062,409,731,339,743,775
892,642,696,582,1061,410,730,340,743,775
893,643,697,581,1061,410,730,339,745,776
894,644,698,582,1061,410,730,340,745,777
893,644,697,583,1061,410,729,340,744,778
892,644,697,583,1060,410,729,340,744,778
892,644,697,583,1060,410,729,340,744,778
891,645,696,584,1059,409,728,340,742,779
892,645,695,585,1057,409,727,340,741,780
891,645,695,585,1057,407,727,340,741,779
891,645,694,585,1056,407,726,340,741,780
890,645,694,587,1055,406,726,341,740,780
889,645,693,586,1054,406,725,342,739,780
889,646,693,586,1053,406,725,342,738,780
889,646,694,588,1053,406,726,342,740,781
891,647,695,589,1055,408,727,342,742,783
890,646,695,588,1055,407,726,342,742,783
889,647,694,589,1055,407,726,342,742,784
889,647,693,589,1054,407,726,343,741,784
889,646,693,590,1052,407,725,342,741,783
887,647,692,589,1051,407,724,342,740,782
885,647,689,590,1047,407,721,342,737,780
884,645,688,588,1047,405,720,343,736,779
886,645,690,587,1048,406,722,342,737,780
887,648,692,589,1050,408,722,343,739,782
887,648,691,591,1050,408,722,343,738,783
887,648,691,588,1050,408,722,343,739,783
887,648,691,589,1049,407,722,343,739,783
