Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
1054,718,836,744,1067,407,735,431,970,929
1054,717,835,744,1066,406,736,430,970,928
1053,720,835,746,1066,406,736,431,970,928
1054,719,835,746,1067,407,736,431,970,929
1055,719,837,745,1069,407,736,431,970,931
1055,722,837,748,1070,409,738,432,972,934
1055,725,836,750,1072,412,737,433,970,936
1055,724,836,750,1071,410,737,433,971,934
1055,722,836,748,1069,407,737,433,971,934
1055,724,836,749,1069,407,737,433,972,935
1055,725,836,749,1069,408,738,433,972,935
1055,724,837,749,1070,408,737,432,972,935
1055,723,837,749,1070,407,737,432,972,935
1055,724,836,749,1069,407,738,432,971,936
1055,723,836,749,1069,407,737,432,971,936
1055,724,836,749,1069,407,738,432,969,936
1055,724,836,749,1068,407,738,432,970,936
1055,724,836,749,1068,407,737,432,971,936
1055,724,836,749,1068,406,737,432,971,936
1054,724,835,750,1067,408,737,432,970,936
1053,724,833,750,1068,408,736,432,969,936
1053,724,834,750,1068,408,736,432,969,936
1054,723,835,749,1068,408,736,432,970,935
1054,723,835,749,1069,407,737,432,969,935
1054,723,835,749,1068,407,736,432,970,934
1054,722,835,748,1068,407,737,432,970,933
1054,722,835,748,1067,407,737,432,970,933
1054,723,834,749,1068,406,736,433,971,934
1055,724,835,750,1069,407,737,433,971,934
1054,726,835,751,1069,408,737,433,970,935
1052,725,834,750,1068,408,736,433,968,935
1053,724,834,749,1067,407,734,432,968,932
1052,722,833,749,1066,406,734,431,966,930
1052,721,833,747,1065,405,734,431,967,928
1052,720,834,747,1066,406,735,432,967,928
1053,720,834,746,1066,406,737,432,970,929
1053,720,835,747,1067,407,737,433,970,929
1052,721,834,747,1066,406,736,433,969,928
1051,719,833,747,1065,407,733,433,967,928
1051,718,833,745,1064,406,733,432,967,927
1050,718,833,745,1065,406,733,431,967,927
1051,718,833,744,1065,406,733,431,968,926
1053,718,834,744,1065,405,733,431,969,926
1053,718,834,744,1065,405,734,431,969,925
1053,719,834,744,1066,405,736,432,971,929
1055,721,835,747,1067,407,736,433,971,932
1054,723,834,748,1067,408,736,433,971,931
1053,721,834,747,1066,408,736,432,970,929
1052,720,834,746,1065,406,733,431,969,929
1053,720,834,746,1066,406,735,432,969,929
1054,720,835,745,1067,407,737,432,971,930
1055,719,836,745,1068,405,738,433,971,930
1054,720,835,745,1068,405,738,432,971,931
1053,723,834,747,1067,407,736,432,968,931
1053,721,834,747,1066,406,736,432,968,931
1053,721,834,746,1067,406,736,432,967,930
