Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
807,539,621,547,927,356,661,282,707,701
809,542,621,548,932,358,667,283,709,704
813,544,623,552,934,360,665,288,711,706
818,540,626,551,937,360,664,291,714,701
825,526,633,536,942,345,665,292,719,681
832,509,636,517,952,336,669,289,722,660
833,496,638,499,955,330,668,287,723,644
834,490,638,494,960,329,671,284,720,638
834,488,639,491,963,330,675,278,715,634
833,485,638,478,963,329,675,274,713,621
834,466,638,453,969,323,679,269,705,593
839,442,638,430,971,313,675,264,710,562
842,430,639,421,977,310,673,257,709,543
844,429,641,414,981,309,679,250,706,540
847,436,643,422,985,313,680,254,712,560
845,455,646,440,986,316,681,256,716,591
845,474,647,466,985,321,680,261,720,614
849,479,650,474,986,326,675,265,724,616
852,471,651,468,983,322,672,266,731,608
855,465,653,461,990,323,674,265,733,600
855,465,654,462,989,323,674,266,733,600
859,467,655,464,992,323,677,266,736,603
862,463,659,456,995,323,677,267,739,592
870,447,663,440,997,318,674,269,743,569
876,428,668,420,999,308,672,270,750,538
881,414,674,409,1003,302,671,270,756,515
885,412,679,403,1008,302,673,266,756,512
887,411,680,399,1014,300,675,260,757,512
889,410,682,400,1016,298,678,254,761,512
898,398,688,385,1022,293,688,249,769,491
899,375,692,357,1026,286,686,242,771,446
892,360,692,333,1030,285,683,241,756,417
873,400,675,366,1025,298,679,236,725,495
860,412,660,374,1016,307,674,239,710,502
801,543,618,509,960,367,650,283,675,696
844,516,643,500,991,358,656,279,718,674
843,537,641,526,980,363,642,301,721,693
838,537,637,526,979,370,630,315,708,688
836,533,634,519,982,373,633,312,702,679
838,532,637,511,991,376,640,309,702,674
835,529,634,501,994,380,645,306,698,665
837,514,633,489,990,372,638,303,700,642
844,503,637,475,996,368,639,301,706,623
840,490,633,462,1001,365,639,295,697,604
844,481,636,451,1003,357,644,288,692,593
846,483,639,448,1008,361,655,283,694,594
845,489,639,454,1007,363,658,282,695,602
845,492,639,459,1005,358,654,281,701,618
844,499,640,468,1004,360,655,282,700,627
841,505,637,474,1004,364,653,283,695,634
837,507,635,474,1001,365,649,285,691,631
839,500,635,463,1006,368,654,283,685,619
836,497,635,458,1005,365,656,280,678,618
835,497,635,458,1004,367,655,280,679,617
837,498,633,462,1004,366,655,282,681,619
836,498,634,459,1003,366,655,283,679,615
836,491,637,450,1004,363,656,280,680,604
837,482,638,436,1007,358,661,276,678,591
841,475,640,427,1009,358,667,273,674,578
835,484,638,435,1007,360,662,275,673,592
834,485,638,435,1007,361,664,274,672,593
835,484,640,433,1009,361,666,273,672,591
836,481,639,431,1008,361,667,272,674,589
835,482,639,430,1008,361,668,272,672,590
830,477,637,428,1001,359,668,271,672,590
833,435,638,389,990,332,669,248,677,530
852,499,654,481,1003,340,644,275,730,650
857,504,661,493,999,340,646,282,737,656
867,502,667,493,1002,337,650,284,749,656
871,500,670,495,1001,335,649,290,757,656
872,504,672,501,1001,338,651,293,757,658
