scorer,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000
bodyparts,nose,nose,nose,ear1,ear1,ear1,ear2,ear2,ear2,neck,neck,neck,hip1,hip1,hip1,hip2,hip2,hip2,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
33,258.0896911621094,205.029541015625,1.0,243.0019989013672,201.24244689941406,1.0,248.95423889160156,229.34095764160156,1.0,221.3448944091797,214.63848876953125,1.0,190.1967010498047,185.87168884277344,1.0,172.16067504882812,219.9500732421875,1.0,150.96131896972656,185.62384033203125,1.0
34,267.87249755859375,204.287109375,1.0,252.07180786132812,199.84918212890625,1.0,259.6821594238281,229.06170654296875,1.0,231.01947021484375,214.57098388671875,1.0,195.8408966064453,190.2549285888672,1.0,180.59422302246094,224.54837036132812,1.0,158.1223907470703,193.97555541992188,1.0
35,276.75146484375,205.39605712890625,1.0,260.4393615722656,197.66127014160156,1.0,265.19940185546875,227.3820037841797,1.0,239.18638610839844,211.93617248535156,1.0,198.8043670654297,191.08837890625,1.0,185.1198272705078,226.26705932617188,1.0,160.060546875,197.619873046875,1.0
36,288.6648864746094,201.35699462890625,1.0,274.0269775390625,192.38040161132812,1.0,277.6781921386719,223.0391845703125,1.0,254.264404296875,206.7940673828125,1.0,203.46632385253906,187.45774841308594,1.0,194.3821258544922,221.81607055664062,1.0,167.60092163085938,202.8919219970703,1.0
37,295.7908020019531,196.01220703125,1.0,280.8614501953125,187.5390167236328,1.0,284.923828125,217.76824951171875,1.0,262.057373046875,201.74765014648438,1.0,208.5579071044922,183.81192016601562,1.0,203.7762451171875,223.06106567382812,1.0,174.5942840576172,203.70907592773438,1.0
38,301.0676574707031,195.22930908203125,1.0,285.89605712890625,184.61668395996094,1.0,289.4944763183594,215.29647827148438,1.0,266.3911437988281,198.8718719482422,1.0,211.51651000976562,182.41172790527344,1.0,212.3055877685547,223.6462860107422,1.0,177.71456909179688,205.47518920898438,1.0
39,307.3542785644531,189.35540771484375,1.0,290.0755310058594,181.54017639160156,1.0,296.7429504394531,211.95822143554688,1.0,273.3308410644531,196.26051330566406,1.0,213.69236755371094,181.67251586914062,1.0,216.28457641601562,222.3229522705078,1.0,180.682861328125,207.28466796875,1.0
40,302.72674560546875,177.53587341308594,1.0,288.77203369140625,174.9104461669922,1.0,298.92950439453125,204.63946533203125,1.0,271.9969482421875,193.3275604248047,1.0,213.70191955566406,181.9144744873047,1.0,218.93112182617188,221.8766326904297,1.0,181.80482482910156,209.03765869140625,1.0
41,295.3146057128906,165.75331115722656,1.0,283.8070373535156,170.45452880859375,1.0,302.5036315917969,194.0287322998047,1.0,271.4738464355469,190.29861450195312,1.0,212.7187957763672,182.26902770996094,1.0,219.2404022216797,221.5142364501953,1.0,181.41676330566406,210.6191864013672,1.0
42,292.9129638671875,156.73724365234375,1.0,277.98052978515625,164.2563934326172,1.0,300.0269470214844,186.77413940429688,1.0,269.2811584472656,184.6210479736328,1.0,211.33290100097656,181.94007873535156,1.0,220.23007202148438,221.04904174804688,1.0,181.4283905029297,211.50807189941406,1.0
